"","hgnc_symbol","chromosome_name","start_position","end_position"
"PPP2R3B","PPP2R3B","Y",333933,386955
"IL3RA","IL3RA","Y",1336616,1382689
"P2RY8","P2RY8","Y",1462581,1537185
"SLC25A6","SLC25A6","Y",1386152,1392113
"DHRSX-IT1","DHRSX-IT1","Y",2334295,2336410
"DHRSX","DHRSX","Y",2219506,2502805
"ASMTL","ASMTL","Y",1403139,1453762
"LINC00685","LINC00685","Y",320990,321851
"PLCXD1","PLCXD1","Y",276322,303356
"ZBED1","ZBED1","Y",2486414,2500976
"LINC00102","LINC00102","Y",2612988,2615347
"CD99","CD99","Y",2691187,2741309
"SHOX","SHOX","Y",624344,659411
"CD99P1","CD99P1","Y",2609415,2623453
"CRLF2","CRLF2","Y",1190490,1212723
"AKAP17A","AKAP17A","Y",1591604,1602520
"ASMT","ASMT","Y",1615059,1643081
"CSF2RA","CSF2RA","Y",1268793,1325373
"ASMTL-AS1","ASMTL-AS1","Y",1401430,1414028
"LINC00106","LINC00106","Y",1392679,1400524
"LINC02968","LINC02968","Y",1657735,1763312
"GTPBP6","GTPBP6","Y",303346,318798
"VAMP7","VAMP7","Y",57067865,57130289
"DDX11L16","DDX11L16","Y",57212184,57214397
"WASH6P","WASH6P","Y",57207346,57212230
"WASIR1","WASIR1","Y",57201135,57203405
"IL9R","IL9R","Y",57184216,57199537
"PRY","PRY","Y",22490397,22514637
"USP9Y","USP9Y","Y",12537650,12860839
"PRY2","PRY2","Y",22071756,22096007
"EIF1AY","EIF1AY","Y",20575776,20593154
"BPY2","BPY2","Y",22973819,23005465
"TTTY19","TTTY19","Y",8704472,8705283
"TTTY4","TTTY4","Y",22936455,22973284
"TTTY17A","TTTY17A","Y",22851584,22852715
"FAM41AY1","FAM41AY1","Y",17500958,17515018
"TTTY5","TTTY5","Y",22296798,22298876
"RBMY1D","RBMY1D","Y",21880076,21894526
"HSFY2","HSFY2","Y",18731440,18773735
"KDM5D","KDM5D","Y",19703865,19744939
"HSFY1","HSFY1","Y",18546691,18588963
"TGIF2LY","TGIF2LY","Y",3579067,3580041
"RBMY1F","RBMY1F","Y",22168542,22182982
"CDY2A","CDY2A","Y",18025787,18027746
"BPY2C","BPY2C","Y",25030901,25062548
"TTTY4C","TTTY4C","Y",25063083,25099892
"DAZ4","DAZ4","Y",24833843,24907040
"CDY2B","CDY2B","Y",17878260,17880220
"SRY","SRY","Y",2786855,2787682
"RPS4Y1","RPS4Y1","Y",2841602,2932000
"ZFY","ZFY","Y",2935281,2982506
"DDX3Y","DDX3Y","Y",12904108,12920478
"UTY","UTY","Y",13234577,13480673
"TMSB4Y","TMSB4Y","Y",13703899,13706024
"VCY","VCY","Y",13985772,13986473
"DAZ3","DAZ3","Y",24763069,24813492
"DAZ1","DAZ1","Y",23129355,23199010
"AMELY","AMELY","Y",6865918,6911752
"TBL1Y","TBL1Y","Y",6910686,7101970
"DAZ2","DAZ2","Y",23219447,23291356
"NLGN4Y-AS1","NLGN4Y-AS1","Y",14793642,14804033
"RBMY1E","RBMY1E","Y",21903618,21918042
"NLGN4Y","NLGN4Y","Y",14522573,14845654
"VCY1B","VCY1B","Y",14056227,14056958
"RPS4Y2","RPS4Y2","Y",20756108,20781032
"PRORY","PRORY","Y",21382954,21386360
"TTTY13","TTTY13","Y",21565092,21605081
"PCDH11Y","PCDH11Y","Y",5000226,5742224
"TTTY3B","TTTY3B","Y",23936727,23941622
"CDY1B","CDY1B","Y",24045229,24048019
