"ensembl_gene_id" "hgnc_symbol" "chromosome_name" "start_position" "end_position"
"26" "ENSG00000291597" "ACTR1B" "0" 581970 590075
"86" "ENSG00000275199" "AKT3" "0" 500341 867542
"97" "ENSG00000291477" "ALMS1-IT1" "0" 126262 128980
"99" "ENSG00000291486" "ALMS1P1" "0" 340528 354583
"121" "ENSG00000291582" "ANKRD36" "0" 87851 239219
"123" "ENSG00000291600" "ANKRD36B" "0" 418694 515908
"142" "ENSG00000291544" "APOB" "0" 52097 94741
"156" "ENSG00000291381" "ARHGEF19" "0" 1991 16789
"173" "ENSG00000282854" "ASAP3" "0" 198542 254547
"203" "ENSG00000285390" "ATP5IF1" "0" 29753 40550
"211" "ENSG00000263014" "ATP6V1G3" "0" 164628 182350
"224" "ENSG00000282880" "B3GALNT2" "0" 90782 148044
"235" "ENSG00000291757" "BCAN-AS1" "0" 196342 199563
"322" "ENSG00000291484" "C2orf78" "0" 453681 486646
"325" "ENSG00000291598" "C2orf92" "0" 590248 629097
"448" "ENSG00000276725" "CEP170" "0" 136536 267429
"466" "ENSG00000292003" "CFHR2" "0" 708861 724748
"470" "ENSG00000292002" "CFHR5" "0" 740137 774808
"511" "ENSG00000261893" "CLK2" "0" 67891 83514
"551" "ENSG00000291596" "COX5B" "0" 572093 574414
"554" "ENSG00000291382" "CPLANE2" "0" 35829 41320
"570" "ENSG00000279215" "CRIM1-DT" "0" 8202 8571
"576" "ENSG00000291402" "CROCCP3" "0" 278663 295576
"725" "ENSG00000291483" "DUSP11" "0" 431280 449630
"800" "ENSG00000262666" "ENTREP3" "0" 52228 60506
"858" "ENSG00000292086" "FAHD2A" "0" 164815 178725
"860" "ENSG00000291581" "FAHD2B" "0" 58281 69580
"898" "ENSG00000291375" "FBXO42" "0" 50977 156623
"904" "ENSG00000291905" "FCER1A" "0" 41540 60050
"966" "ENSG00000281518" "FOXO6" "0" 111107 133486
"968" "ENSG00000281876" "FOXO6-AS1" "0" 124733 125374
"989" "ENSG00000261992" "GATAD2B" "0" 121426 145049
