"","Gene","GeneSymbol","Chr","start","end","band","cytoband","isCentromer","Position","new_positions"
"2026","MIR1302-2HG","MIR1302-2HG","1",28589,31109,"p36.33","1p","no",29849,1
"869","FAM138A","FAM138A","1",34553,37595,"p36.33","1p","no",36074,2
"2348","OR4F5","OR4F5","1",65419,71585,"p36.33","1p","no",68502,3
"2347","OR4F29","OR4F29","1",450740,451678,"p36.33","1p","no",451209,4
"1572","LINC00115","LINC00115","1",586945,827989,"p36.33","1p","no",707467,5
"2346","OR4F16","OR4F16","1",685716,686654,"p36.33","1p","no",686185,6
"1662","LINC01409","LINC01409","1",778739,810066,"p36.33","1p","no",794402.5,7
"889","FAM87B","FAM87B","1",817363,819842,"p36.33","1p","no",818602.5,8
"1609","LINC01128","LINC01128","1",825138,868835,"p36.33","1p","no",846986.5,9
"880","FAM41C","FAM41C","1",868052,877032,"p36.33","1p","no",872542,10
"1811","LINC02593","LINC02593","1",916865,925614,"p36.33","1p","no",921239.5,11
"2876","SAMD11","SAMD11","1",923923,944575,"p36.33","1p","no",934249,12
"2201","NOC2L","NOC2L","1",944203,959309,"p36.33","1p","no",951756,13
"1495","KLHL17","KLHL17","1",960584,965719,"p36.33","1p","no",963151.5,14
"2498","PLEKHN1","PLEKHN1","1",966482,975865,"p36.33","1p","no",971173.5,15
"2435","PERM1","PERM1","1",975198,982117,"p36.33","1p","no",978657.5,16
"1137","HES4","HES4","1",998962,1000172,"p36.33","1p","no",999567,17
"1410","ISG15","ISG15","1",1001138,1014540,"p36.33","1p","no",1007839,18
"68","AGRN","AGRN","1",1020120,1056119,"p36.33","1p","no",1038119.5,19
"2808","RNF223","RNF223","1",1070967,1074306,"p36.33","1p","no",1072636.5,20
"287","C1orf159","C1orf159","1",1081818,1116361,"p36.33","1p","no",1099089.5,21
"1635","LINC01342","LINC01342","1",1137017,1144056,"p36.33","1p","no",1140536.5,22
"3380","TTLL10-AS1","TTLL10-AS1","1",1173056,1179555,"p36.33","1p","no",1176305.5,23
"3379","TTLL10","TTLL10","1",1173880,1197936,"p36.33","1p","no",1185908,24
